Team,Opponent,REG,W/L,Score,Spread W/L,Spread,O/U W/L,O/U,Home/Away
Texas A&M, Northwestern State,REG,W,64-52,L,-16.5,U,143,1
Texas Tech, Georgetown University,REG,W,79-65,L,-16.5,O,137.5,1
Texas Tech, Eastern Washington,REG,W,77-70,L,-16.5,O,134,1
Towson, Albany,REG,W,67-62,L,-16.5,U,132,1
UAB, South Carolina,REG,W,84-70,L,-16.5,O,144,1
Vanderbilt, Southern Mississippi,REG,L,60-48,L,-16.5,U,135,1
Cincinnati, Eastern Kentucky,REG,W,87-69,W,-16.5,O,150,1
Delaware, Hartford,REG,W,78-50,W,-16.5,U,142.5,1
Drexel, Delaware State,REG,W,85-52,W,-16.5,O,133.5,1
Duke, Florida State,REG,W,86-67,W,-16.5,O,143.5,1
Gonzaga, Washington,REG,W,77-60,W,-16.5,U,148.5,1
Seton Hall, Saint Peter's,REG,W,80-44,W,-16.5,U,129,1
Syracuse, Oakland,REG,W,95-66,W,-16.5,O,144.5,1
Tulane, UMBC,REG,W,89-67,W,-16.5,O,147,1
Utah, St. Thomas (MN),REG,W,95-66,W,-16.5,O,140.5,1
West Virginia, Pennsylvania,REG,W,92-58,W,-16.5,O,143,1
Colorado State, Northern Colorado,REG,L,88-83,L,-16,O,151,1
Kansas State, Radford,REG,W,73-65,L,-16,O,136.5,1
Northern Iowa, McNeese State,REG,L,52-49,L,-16,U,136.5,1
Oklahoma, Sam Houston State,REG,L,52-51,L,-16,U,133,1
Oregon State, Wisconsin-Green Bay,REG,W,65-56,L,-16,U,128,1
Purdue, Florida State,REG,W,79-69,L,-16,O,136.5,0
Saint Louis, Southern Illinois-Edwardsville,REG,L,69-67,L,-16,U,148,1
South Dakota, LIU,REG,W,68-58,L,-16,U,152,1
St. John's, Niagara,REG,W,78-70,L,-16,O,136.5,1
Temple, Wagner,REG,L,76-73,L,-16,O,132,1
Tennessee, Colorado,REG,L,78-66,L,-16,O,139.5,1
UAB, South Florida,REG,W,80-65,L,-16,O,142.5,0
USC, Mount St. Mary's,REG,W,83-74,L,-16,O,134.5,1
Yale, Stony Brook,REG,W,77-72,L,-16,O,129.5,0
Cal Baptist, NJIT,REG,W,59-43,P,-16,U,137.5,1
Notre Dame, Bowling Green,REG,W,82-66,P,-16,U,153,1
Boston University, Hartford,REG,W,102-66,W,-16,O,139.5,1
Hawaii, St. Francis-Pennsylvania,REG,W,90-66,W,-16,O,135.5,1
Iona, Canisius,REG,W,90-60,W,-16,O,142.5,1
James Madison, Hampton,REG,W,106-58,W,-16,O,151,1
Liberty, Maryland-Eastern Shore,REG,W,79-59,W,-16,O,132.5,1
Michigan State, Brown,REG,W,68-50,W,-16,U,131.5,1
UCLA, Pepperdine,REG,W,100-53,W,-16,O,152,1
UNC Wilmington, Hampton,REG,W,82-65,W,-16,O,139.5,1
Central Florida, Stetson,REG,W,73-58,L,-15.5,O,127,1
Colorado, Northern Colorado,REG,W,88-77,L,-15.5,O,153.5,1
Creighton, DePaul,REG,W,80-65,L,-15.5,P,145,1
Davidson, Western Carolina,REG,W,72-64,L,-15.5,U,144,1
DePaul, Western Illinois,REG,W,86-74,L,-15.5,O,145.5,1
Gonzaga, Kent State,REG,W,73-66,L,-15.5,U,152.5,1
Houston, Central Florida,REG,W,71-65,L,-15.5,O,121.5,1
James Madison, Valparaiso,REG,L,81-79,L,-15.5,O,144.5,0
Loyola-Chicago, Albany,REG,W,68-56,L,-15.5,U,134.5,1
Northern Kentucky, IUPUI,REG,W,55-42,L,-15.5,U,122.5,0
Oregon, UC Irvine,REG,L,69-56,L,-15.5,U,137,1
Portland, Portland State,REG,W,98-91,L,-15.5,O,147.5,1
Temple, Maryland-Eastern Shore,REG,L,86-78,L,-15.5,O,131.5,1
Washington, North Florida,REG,W,75-67,L,-15.5,O,141.5,1
Washington, Dixie State,REG,W,78-67,L,-15.5,O,143,1
Wichita State, Alcorn State,REG,L,66-57,L,-15.5,U,137.5,1
Wright State, IUPUI,REG,W,82-68,L,-15.5,O,134,0
Wyoming, Nicholls State,REG,W,79-68,L,-15.5,U,154,1
Central Florida, Western Illinois,REG,W,70-37,W,-15.5,U,141,1
Cincinnati, Miami-Ohio,REG,W,103-76,W,-15.5,O,148,1
Furman, The Citadel,REG,W,97-72,W,-15.5,O,148,1
Indiana State, Evansville,REG,W,91-63,W,-15.5,O,146,1
Iowa, Georgia Tech,REG,W,81-65,W,-15.5,U,149.5,1
Longwood, Delaware State,REG,W,75-49,W,-15.5,U,140,0
Michigan, PFW,REG,W,75-56,W,-15.5,U,150,1
Michigan State, Buffalo,REG,W,89-68,W,-15.5,O,149.5,1
Minnesota, St. Francis-Brooklyn,REG,W,72-54,W,-15.5,U,134.5,1
Pittsburgh, Sacred Heart,REG,W,91-66,W,-15.5,O,149.5,1
Princeton, Monmouth,REG,W,91-54,W,-15.5,O,140.5,1
Syracuse, Northeastern,REG,W,76-48,W,-15.5,U,137.5,1
Utah, Jacksonville State,REG,W,99-58,W,-15.5,O,134,1
College of Charleston, Presbyterian,REG,W,67-62,L,-15,U,144.5,0
Fordham, Central Connecticut State,REG,W,90-77,L,-15,O,130.5,1
Grand Canyon, Idaho State,REG,W,68-66,L,-15,O,128.5,1
LSU, Winthrop,REG,W,89-81,L,-15,O,146.5,1
Memphis, South Florida,REG,W,93-86,L,-15,O,139.5,1
Nevada, UC San Diego,REG,W,64-56,L,-15,U,135.5,1
North Carolina, Portland,REG,W,89-81,L,-15,O,154,0
San Francisco, Texas Southern,REG,W,90-77,L,-15,O,143.5,1
Stanford, Pacific,REG,W,88-78,L,-15,O,140,1
UAB, UTEP,REG,W,79-73,L,-15,O,143,1
Villanova, La Salle,REG,W,81-68,L,-15,O,137,1
Arkansas, South Dakota State,REG,W,71-56,P,-15,U,152.5,1
Arkansas, Louisville,REG,W,80-54,W,-15,U,140.5,1
Arkansas State, Mississippi Valley State,REG,W,58-38,W,-15,U,129.5,1
Bradley, UIC,REG,W,79-45,W,-15,U,132,1
Clemson, Loyola-Maryland,REG,W,72-41,W,-15,U,135.5,1
Duke, Jacksonville,REG,W,71-44,W,-15,U,138,1
Florida Atlantic, Florida International,REG,W,79-53,W,-15,U,150,1
George Mason, American,REG,W,73-56,W,-15,U,136.5,1
Georgia Tech, North Alabama,REG,W,80-61,W,-15,U,142.5,1
Ole Miss, Valparaiso,REG,W,98-61,W,-15,O,130.5,1
Mississippi State, Texas A&M-Corpus Christi,REG,W,63-44,W,-15,U,141.5,1
Mississippi State, South Dakota,REG,W,79-42,W,-15,U,138,1
NC State, Florida International,REG,W,107-74,W,-15,O,159,1
Portland, North Dakota,REG,W,90-69,W,-15,O,146,1
Rutgers, Rider,REG,W,76-46,W,-15,U,137,1
Southern Illinois, Arkansas-Little Rock,REG,W,94-63,W,-15,O,134,1
Stanford, Cal Poly,REG,W,80-43,W,-15,U,135,1
TCU, Louisiana-Monroe,REG,W,95-60,W,-15,O,139.5,1
Towson, Coppin State,REG,W,83-67,W,-15,O,142.5,1
UMass-Lowell, LIU,REG,W,84-64,W,-15,O,145,0
Vanderbilt, Southeastern Louisiana,REG,W,93-55,W,-15,O,144,1
Washington, Idaho State,REG,W,90-55,W,-15,O,133.5,1
West Virginia, Portland State,REG,W,89-71,W,-15,O,149.5,0
Akron, Jackson State,REG,W,85-72,L,-14.5,O,131,1
Boston College, New Hampshire,REG,L,74-71,L,-14.5,O,126.5,1
Colorado, Grambling State,REG,L,83-74,L,-14.5,O,145.5,0
Creighton, Nebraska,REG,L,63-53,L,-14.5,U,141.5,1
George Mason, Maryland-Eastern Shore,REG,W,67-54,L,-14.5,U,134,1
Harvard, Morehouse,REG,W,68-63,L,-14.5,U,140.5,0
Miami, Cornell,REG,W,107-105,L,-14.5,O,154,1
Michigan, Ohio,REG,W,70-66,L,-14.5,U,146.5,1
Michigan, Lipscomb,REG,W,83-75,L,-14.5,O,147,1
Notre Dame, Southern Indiana,REG,W,82-70,L,-14.5,O,149.5,1
Penn State, Quinnipiac,REG,W,77-68,L,-14.5,O,140.5,1
Purdue, Davidson,REG,W,69-61,L,-14.5,U,140.5,1
San Francisco, Texas-Arlington,REG,L,68-63,L,-14.5,U,137.5,1
San Jose State, Alabama State,REG,W,70-57,L,-14.5,U,142,1
Seton Hall, Siena,REG,L,60-55,L,-14.5,U,136,1
Southern Illinois, Alcorn State,REG,W,74-68,L,-14.5,O,129,1
Southern Illinois, Chicago State,REG,W,63-52,L,-14.5,U,131.5,1
Texas A&M, Wofford,REG,L,67-62,L,-14.5,U,140.5,1
USC, Cal State-Fullerton,REG,W,64-50,L,-14.5,U,135,1
Villanova, Pennsylvania,REG,W,70-59,L,-14.5,U,139.5,1
Yale, Columbia,REG,L,62-60,L,-14.5,U,131.5,0
Alabama, Longwood,REG,W,75-54,W,-14.5,U,148.5,1
Central Florida, Evansville,REG,W,76-56,W,-14.5,O,122.5,1
Detroit, Wisconsin-Green Bay,REG,W,76-59,W,-14.5,U,142.5,1
Florida State, USC Upstate,REG,W,80-63,W,-14.5,U,143.5,1
New Mexico, North Dakota State,REG,W,76-55,W,-14.5,U,153,1
Oklahoma State, Tulsa,REG,W,82-56,W,-14.5,U,140.5,1
Pittsburgh, Fairleigh Dickinson,REG,W,83-61,W,-14.5,U,153,1
Richmond, Coppin State,REG,W,83-65,W,-14.5,O,145,1
St. Marys, Missouri State,REG,W,66-46,W,-14.5,U,120,1
Southern Mississippi, McNeese State,REG,W,86-67,W,-14.5,O,136.5,1
Texas A&M, Oregon State,REG,W,72-54,W,-14.5,U,134.5,1
Arizona State, Tarleton State,REG,W,62-59,L,-14,U,130,1
DePaul, Loyola-Maryland,REG,W,72-66,L,-14,U,141,1
Florida, Oregon State,REG,W,81-68,L,-14,O,139,1
Grand Canyon, Alcorn State,REG,W,80-72,L,-14,O,126,1
LSU, East Tennessee State,REG,W,72-68,L,-14,P,140,1
NC State, Campbell,REG,W,73-67,L,-14,O,138,1
Notre Dame, Boston University,REG,W,81-75,L,-14,O,133,1
Oregon, UC Riverside,REG,W,71-65,L,-14,O,135.5,1
Oregon, Oregon State,REG,W,77-68,L,-14,O,132,1
San Francisco, Cal Poly,REG,W,60-48,L,-14,U,146,1
Southern Illinois, Tennessee State,REG,W,57-44,L,-14,U,133.5,1
UAB, South Alabama,REG,W,76-68,L,-14,U,152,1
UNC Greensboro, UMBC,REG,W,76-72,L,-14,O,135,1
UNLV, Southern,REG,W,66-56,L,-14,U,135,1
Vanderbilt, Grambling State,REG,L,64-62,L,-14,U,137,1
Virginia Tech, Old Dominion,REG,W,75-71,L,-14,O,130.5,1
BYU, Nicholls State,REG,W,87-73,P,-14,O,156.5,1
Dayton, Saint Joseph's,REG,W,76-56,W,-14,U,134.5,1
Dixie State, Lindenwood,REG,W,95-64,W,-14,O,143,1
Florida Atlantic, Albany,REG,W,73-56,W,-14,U,141,0
James Madison, Eastern Kentucky,REG,W,97-80,W,-14,O,158.5,1
Longwood, South Carolina State,REG,W,104-77,W,-14,O,147.5,1
Missouri, Coastal Carolina,REG,W,89-51,W,-14,U,151.5,1
New Mexico, Northern Colorado,REG,W,98-74,W,-14,O,154.5,1
Northwestern, UIC,REG,W,92-54,W,-14,O,131.5,1
Pittsburgh, North Florida,REG,W,82-56,W,-14,U,147.5,1
St. Marys, Hofstra,REG,W,76-48,W,-14,U,139.5,1
Seton Hall, Drexel,REG,W,66-49,W,-14,U,126,1
UMass-Lowell, Merrimack,REG,W,77-51,W,-14,U,131,1
Akron, Morgan State,REG,W,65-59,L,-13.5,U,140,1
College of Charleston, Stetson,REG,W,65-60,L,-13.5,U,146,1
Drake, Buffalo,REG,W,80-72,L,-13.5,U,159.5,1
Florida International, Houston Baptist,REG,W,77-66,L,-13.5,U,157,1
Florida International, Incarnate Word,REG,W,79-74,L,-13.5,O,145.5,1
Fordham, VMI,REG,W,80-77,L,-13.5,O,143,1
Fresno State, Cal State-Northridge,REG,W,65-56,L,-13.5,U,125.5,1
Georgia, Western Carolina,REG,W,68-55,L,-13.5,U,142,1
Louisiana Tech, Alabama A&M,REG,W,80-75,L,-13.5,O,145.5,0
LSU, North Carolina Central,REG,W,67-57,L,-13.5,U,141.5,1
Navy, Holy Cross,REG,L,74-63,L,-13.5,O,132,1
Northwestern, Brown,REG,W,63-58,L,-13.5,U,128,1
Oral Roberts, Nebraska-Omaha,REG,W,92-89,L,-13.5,O,154,0
Pacific, Idaho,REG,L,84-81,L,-13.5,O,146.5,1
Portland, North Dakota State,REG,L,67-62,L,-13.5,U,151,1
Rutgers, UMass-Lowell,REG,W,73-65,L,-13.5,O,136,1
Samford, VMI,REG,W,87-78,L,-13.5,O,143.5,1
USC, Oregon State,REG,W,63-62,L,-13.5,U,133.5,1
Wyoming, Howard,REG,W,78-71,L,-13.5,U,154.5,1
Bryant, Stony Brook,REG,W,79-60,W,-13.5,U,150,1
Fordham, Binghamton,REG,W,77-62,W,-13.5,O,136.5,1
Furman, Winthrop,REG,W,82-67,W,-13.5,U,153.5,1
Georgia Tech, Northern Illinois,REG,W,68-50,W,-13.5,U,136,1
Grand Canyon, Grambling State,REG,W,81-48,W,-13.5,U,134.5,1
Iona, Niagara,REG,W,78-56,W,-13.5,O,129.5,1
Longwood, VMI,REG,W,90-58,W,-13.5,O,138,1
Louisiana Tech, UTSA,REG,W,91-69,W,-13.5,O,145,1
Maryland, Louisville,REG,W,79-54,W,-13.5,U,135.5,0
Missouri State, Evansville,REG,W,85-62,W,-13.5,O,127,1
North Carolina, Georgia Tech,REG,W,75-59,W,-13.5,U,143,1
Penn State, Winthrop,REG,W,93-68,W,-13.5,O,142.5,1
Pittsburgh, William & Mary,REG,W,80-64,W,-13.5,O,133.5,1
Providence, Northeastern,REG,W,89-65,W,-13.5,O,130.5,1
South Florida, NJIT,REG,W,92-73,W,-13.5,O,129,1
Southern Mississippi, Lamar,REG,W,91-65,W,-13.5,O,138.5,0
Texas A&M-Corpus Christi, Incarnate Word,REG,W,91-61,W,-13.5,O,141.5,1
Toledo, Oakland,REG,W,112-90,W,-13.5,O,157.5,1
Troy, Tennessee Tech,REG,W,87-64,W,-13.5,O,134.5,1
UMass-Lowell, Stonehill College,REG,W,73-59,W,-13.5,U,152.5,1
Washington, Weber State,REG,W,69-52,W,-13.5,U,140,1
Bryant, Binghamton,REG,W,82-78,L,-13,O,153,1
BYU, Weber State,REG,W,63-57,L,-13,U,142.5,1
Cal Baptist, Cal State-Northridge,REG,W,62-55,L,-13,U,132.5,1
Nebraska, Queens,REG,W,75-65,L,-13,P,140,1
Northern Colorado, Texas A&M-Commerce,REG,W,80-77,L,-13,O,147,1
Providence, Rider,REG,W,66-65,L,-13,U,142,1
SMU, Jackson State,REG,L,69-68,L,-13,U,143,1
TCU, California,REG,W,59-48,L,-13,U,127,1
TCU, Southern Methodist,REG,W,83-75,L,-13,O,138.5,0
Texas A&M, Murray State,REG,L,88-79,L,-13,O,138,1
Texas State, Lamar,REG,W,65-55,L,-13,U,132.5,0
Texas Tech, Louisiana Tech,REG,W,64-55,L,-13,U,132,1
UMass-Lowell, Sacred Heart,REG,W,90-81,L,-13,O,150,1
Wake Forest, Fairfield,REG,W,71-59,L,-13,U,142.5,1
St. Marys, New Mexico State,REG,W,81-68,P,-13,O,127.5,1
VCU, La Salle,REG,W,80-67,P,-13,O,134,1
Air Force, Arkansas-Pine Bluff,REG,W,81-53,W,-13,O,127.5,1
Auburn, Colgate,REG,W,93-66,W,-13,O,145.5,1
Bradley, Merrimack,REG,W,83-41,W,-13,U,126,1
Cincinnati, La Salle,REG,W,78-60,W,-13,U,144.5,1
Cincinnati, Detroit,REG,W,72-54,W,-13,U,150.5,1
College of Charleston, The Citadel,REG,W,79-57,W,-13,U,150,0
Florida, Ohio,REG,W,82-48,W,-13,U,142,1
Florida Atlantic, Northern Kentucky,REG,W,67-52,W,-13,U,129.5,1
Fordham, Holy Cross,REG,W,67-53,W,-13,U,143.5,1
Indiana, Nebraska,REG,W,81-65,W,-13,O,134,1
James Madison, Howard,REG,W,95-69,W,-13,O,159.5,0
Kansas State, Abilene Christian,REG,W,81-64,W,-13,O,137.5,1
LSU, Illinois State,REG,W,77-61,W,-13,O,135,1
NC State, Austin Peay,REG,W,99-50,W,-13,O,147.5,1
North Texas, UTSA,REG,W,78-54,W,-13,O,123.5,0
Saint Louis, Murray State,REG,W,91-68,W,-13,O,151,1
Texas Tech, Louisville,REG,W,70-38,W,-13,U,128,0
Toledo, Valparaiso,REG,W,85-70,W,-13,O,143.5,1
Tulane, Tulsa,REG,W,93-77,W,-13,O,153.5,1
UMass, Albany,REG,W,87-73,W,-13,O,138,1
Yale, Howard,REG,W,86-40,W,-13,U,135,1
Yale, Monmouth,REG,W,76-44,W,-13,U,133.5,0
Arizona State, Texas Southern,REG,L,67-66,L,-12.5,U,145.5,0
Boston College, Stonehill College,REG,W,63-56,L,-12.5,U,137.5,1
Connecticut, Villanova,REG,W,74-66,L,-12.5,O,136.5,1
Delaware, Elon,REG,W,57-52,L,-12.5,U,141.5,1
Drake, Wofford,REG,W,80-72,L,-12.5,O,145.5,1
Georgetown University, American,REG,L,74-70,L,-12.5,O,138.5,1
Georgia, Miami-Ohio,REG,W,77-70,L,-12.5,O,140,1
Georgia, Bucknell,REG,W,65-61,L,-12.5,U,143,1
Louisiana-Lafayette, New Orleans,REG,W,78-77,L,-12.5,O,154.5,0
Louisiana-Lafayette, McNeese State,REG,W,78-70,L,-12.5,O,139.5,0
LSU, Wofford,REG,W,78-75,L,-12.5,O,137,1
Notre Dame, Lipscomb,REG,W,66-65,L,-12.5,U,152.5,1
Pacific, Lamar,REG,W,74-65,L,-12.5,U,146,0
Rice, Houston Baptist,REG,W,76-67,L,-12.5,U,154.5,1
South Florida, Dartmouth,REG,W,59-55,L,-12.5,U,131.5,1
SMU, Evansville,REG,W,55-47,L,-12.5,U,136,1
Stephen F. Austin, Northwestern State,REG,L,102-96,L,-12.5,O,138.5,1
Texas A&M-Commerce, IUPUI,REG,L,62-52,L,-12.5,U,135,1
Tulsa, Jackson State,REG,W,85-79,L,-12.5,O,141.5,1
Villanova, Saint Joseph's,REG,W,71-64,L,-12.5,U,138,0
Virginia, James Madison,REG,W,55-50,L,-12.5,U,134.5,1
Virginia Tech, Minnesota,REG,W,67-57,L,-12.5,U,126.5,1
Wake Forest, Appalachian State,REG,W,67-66,L,-12.5,U,142,1
Washington, Cal Poly,REG,W,74-68,L,-12.5,O,129.5,1
Wisconsin, Minnesota,REG,W,63-60,L,-12.5,U,123.5,1
Akron, Maine,REG,W,87-55,W,-12.5,O,128,1
Auburn, Bradley,REG,W,85-64,W,-12.5,O,137,1
Charlotte, Maryland-Eastern Shore,REG,W,80-47,W,-12.5,U,133.5,1
Charlotte, Presbyterian,REG,W,69-42,W,-12.5,U,122,1
Cincinnati, Bryant,REG,W,97-71,W,-12.5,O,151.5,1
Loyola-Chicago, Central Arkansas,REG,W,85-70,W,-12.5,O,142.5,1
Missouri State, Central Michigan,REG,W,79-58,W,-12.5,O,135,1
Montana State, Idaho,REG,W,72-58,W,-12.5,U,143,1
New Mexico, Jacksonville State,REG,W,79-61,W,-12.5,U,148,1
North Carolina, James Madison,REG,W,80-64,W,-12.5,U,165,1
Ohio, Chicago State,REG,W,76-59,W,-12.5,U,140,1
Texas A&M, Abilene Christian,REG,W,77-58,W,-12.5,U,140,1
UAB, Jacksonville,REG,W,80-61,W,-12.5,O,140,1
UC-Santa Barbara, UC San Diego,REG,W,82-61,W,-12.5,O,129,1
UNC Wilmington, Monmouth,REG,W,68-55,W,-12.5,U,136.5,0
Vanderbilt, Morehead State,REG,W,76-43,W,-12.5,U,133.5,1
Vermont, Brown,REG,W,80-65,W,-12.5,O,140,1
Washington State, Northern Kentucky,REG,W,68-47,W,-12.5,U,126,1
Wofford, Presbyterian,REG,W,76-63,W,-12.5,O,132.5,1
Bryant, Brown,REG,L,72-60,L,-12,U,156,1
BYU, South Dakota,REG,L,69-68,L,-12,U,144,1
Colorado, Southern Utah,REG,W,86-78,L,-12,O,155,1
Florida, Florida Atlantic,REG,L,76-74,L,-12,O,145,1
Furman, High Point,REG,L,85-82,L,-12,O,158,1
Furman, Western Carolina,REG,L,79-67,L,-12,O,144.5,0
Gonzaga, Michigan State,REG,W,64-63,L,-12,U,142.5,1
Hofstra, North Carolina A&T,REG,L,81-79,L,-12,O,148.5,1
Minnesota, Chicago State,REG,W,58-55,L,-12,U,133.5,1
Missouri, Pennsylvania,REG,W,92-85,L,-12,O,150.5,1
Murray State, Chicago State,REG,W,66-65,L,-12,U,143,1
Norfolk State, Alabama A&M,REG,W,89-83,L,-12,O,142.5,0
Oregon, Utah Valley,REG,L,77-72,L,-12,O,137.5,1
Rhode Island, Stony Brook,REG,W,74-64,L,-12,O,132,1
Saint Joseph's, Fairleigh Dickinson,REG,L,97-80,L,-12,O,153,1
Santa Clara, Sacramento State,REG,W,72-65,L,-12,U,139.5,1
Stephen F. Austin, Jackson State,REG,W,80-69,L,-12,O,142,1
UAB, Charlotte,REG,W,76-68,L,-12,O,137.5,1
UNLV, High Point,REG,W,78-68,L,-12,O,139.5,1
USC, Long Beach State,REG,W,88-78,L,-12,O,146.5,1
Utah State, Southern Methodist,REG,L,77-74,L,-12,O,145.5,1
VCU, Kennesaw State,REG,W,64-61,L,-12,U,132.5,1
Wake Forest, Utah Valley,REG,W,68-65,L,-12,U,147.5,1
Wichita State, Texas Southern,REG,W,65-56,L,-12,U,134,1
Wright State, Robert Morris,REG,L,80-59,L,-12,U,144,1
Ole Miss, Siena,REG,W,74-62,P,-12,O,133,1
Norfolk State, Hampton,REG,W,78-66,P,-12,O,142.5,1
Bradley, Southeast Missouri State,REG,W,73-60,W,-12,U,147.5,1
Colgate, Binghamton,REG,W,81-62,W,-12,U,146.5,0
George Mason, Coppin State,REG,W,91-53,W,-12,U,147,1
Illinois, Syracuse,REG,W,73-44,W,-12,U,144.5,1
Liberty, Grambling State,REG,W,75-56,W,-12,O,128.5,1
Montana State, Nebraska-Omaha,REG,W,82-54,W,-12,U,137,1
Oakland, Wisconsin-Green Bay,REG,W,81-65,W,-12,O,138.5,1
Samford, Alabama A&M,REG,W,84-64,W,-12,U,157,0
Santa Clara, Georgia Southern,REG,W,78-62,W,-12,U,141,1
South Florida, St. Francis-Brooklyn,REG,W,75-60,W,-12,O,127.5,1
Utah Valley, Wisconsin-Green Bay,REG,W,79-56,W,-12,O,127,1
Washington State, Texas State,REG,W,83-61,W,-12,O,132.5,1
Wisconsin, South Dakota,REG,W,85-59,W,-12,O,137.5,1
Army, Stonehill College,REG,L,82-77,L,-11.5,O,149.5,1
Ball State, Chicago State,REG,W,70-63,L,-11.5,U,138.5,1
Clemson, Bellarmine,REG,W,76-66,L,-11.5,O,132.5,1
East Tennessee State, Arkansas-Little Rock,REG,W,84-76,L,-11.5,O,148,1
George Washington, Maryland-Eastern Shore,REG,W,69-64,L,-11.5,U,137,1
Loyola Marymount, Morgan State,REG,W,81-80,L,-11.5,O,147.5,1
New Mexico State, North Carolina A&T,REG,W,85-76,L,-11.5,O,140,0
Northern Iowa, Northern Illinois,REG,W,83-76,L,-11.5,O,137.5,1
Northwestern, PFW,REG,W,60-52,L,-11.5,U,140,1
Princeton, Lafayette,REG,W,69-58,L,-11.5,U,131.5,1
St. Marys, Colorado State,REG,L,62-60,L,-11.5,U,131.5,1
Samford, South Carolina State,REG,L,62-61,L,-11.5,U,152.5,0
San Diego State, UC Irvine,REG,W,72-69,L,-11.5,O,135.5,1
Texas State, Louisiana-Monroe,REG,L,57-53,L,-11.5,U,134,1
Toledo, East Carolina,REG,L,86-75,L,-11.5,O,154.5,0
Arizona State, San Diego,REG,W,91-67,W,-11.5,O,141,1
College of Charleston, North Carolina A&T,REG,W,92-79,W,-11.5,O,151.5,0
Colorado, UC Riverside,REG,W,82-66,W,-11.5,O,136,1
Denver, IUPUI,REG,W,86-64,W,-11.5,O,128.5,1
Drexel, Elon,REG,W,62-50,W,-11.5,U,133.5,1
Georgia Tech, Northeastern,REG,W,81-63,W,-11.5,O,130.5,1
Indiana State, North Dakota State,REG,W,101-75,W,-11.5,O,150.5,1
Liberty, North Carolina Central,REG,W,79-63,W,-11.5,O,135.5,1
Louisiana Tech, Louisiana-Monroe,REG,W,79-58,W,-11.5,U,139,1
Marshall, Coppin State,REG,W,86-67,W,-11.5,U,168,1
Miami, Louisville,REG,W,80-53,W,-11.5,U,136,0
Nevada, Dixie State,REG,W,84-71,W,-11.5,O,151,1
Northern Iowa, Evansville,REG,W,72-55,W,-11.5,U,131.5,1
Oklahoma, UNC Wilmington,REG,W,74-53,W,-11.5,U,127.5,1
Sam Houston State, Louisiana-Monroe,REG,W,79-53,W,-11.5,O,131,0
South Carolina, USC Upstate,REG,W,68-53,W,-11.5,U,141,1
St. Thomas (MN), Wisconsin-Green Bay,REG,W,82-61,W,-11.5,O,138.5,1
UCLA, Washington,REG,W,74-49,W,-11.5,U,138,0
Utah State, Fresno State,REG,W,67-54,W,-11.5,U,135,1
Washington State, Detroit,REG,W,96-54,W,-11.5,O,140,1
Wyoming, Texas A&M-Commerce,REG,W,91-76,W,-11.5,O,132.5,1
Alabama, South Alabama,REG,W,65-55,L,-11,U,150.5,0
Arizona, Cincinnati,REG,W,101-93,L,-11,O,159.5,1
Arkansas State, Alabama State,REG,W,72-65,L,-11,O,129,1
Florida Gulf Coast, Canisius,REG,W,84-81,L,-11,O,140,1
La Salle, Binghamton,REG,W,65-62,L,-11,U,138.5,1
Liberty, Southern Mississippi,REG,L,76-72,L,-11,O,132.5,1
Long Beach State, Idaho,REG,W,82-75,L,-11,O,153.5,1
Loyola-Chicago, UIC,REG,W,70-63,L,-11,U,135,0
Murray State, Illinois State,REG,W,70-67,L,-11,U,137.5,1
North Texas, Texas-Arlington,REG,W,60-57,L,-11,O,114,0
Oklahoma, South Alabama,REG,W,64-60,L,-11,U,128.5,1
South Florida, Southeast Missouri State,REG,L,64-61,L,-11,U,142,1
Stephen F. Austin, Alcorn State,REG,L,69-60,L,-11,U,143,1
Tulane, Fordham,REG,L,95-90,L,-11,O,139.5,1
Washington State, Prairie View A&M,REG,L,70-59,L,-11,U,144,0
Fordham, Stonehill College,REG,W,71-60,P,-11,U,146,1
Ball State, Eastern Illinois,REG,W,76-59,W,-11,U,135.5,0
Brown, Hartford,REG,W,65-51,W,-11,U,133.5,0
BYU, Portland,REG,W,71-58,W,-11,U,151,1
Colgate, Lehigh,REG,W,76-60,W,-11,U,149,0
Dayton, Southern Methodist,REG,W,74-62,W,-11,O,132.5,1
George Washington, New Hampshire,REG,W,75-54,W,-11,U,140.5,1
High Point, Elon,REG,W,84-70,W,-11,O,144.5,1
Kansas, Seton Hall,REG,W,91-65,W,-11,O,138,1
Kansas State, Rhode Island,REG,W,77-57,W,-11,U,134.5,1
Longwood, Fairleigh Dickinson,REG,W,99-83,W,-11,O,150.5,1
Marshall, Morehead State,REG,W,83-59,W,-11,U,150,1
Old Dominion, Maryland-Eastern Shore,REG,W,84-65,W,-11,O,128.5,1
Oral Roberts, Denver,REG,W,80-62,W,-11,U,157,0
Oregon, Montana State,REG,W,81-51,W,-11,U,136.5,1
Saint Joseph's, Central Connecticut State,REG,W,83-66,W,-11,O,136,1
Seattle, Alcorn State,REG,W,72-58,W,-11,U,140.5,1
St. Bonaventure, St. Francis-Pennsylvania,REG,W,71-58,W,-11,U,138.5,1
Texas A&M, Southern Methodist,REG,W,83-64,W,-11,O,138.5,1
Texas A&M-Corpus Christi, UTRGV,REG,W,97-75,W,-11,O,153.5,1
Winthrop, South Carolina State,REG,W,81-67,W,-11,U,158.5,1
Air Force, Texas A&M-Commerce,REG,L,73-69,L,-10.5,O,129,1
